単語,読み仮名,読み上げ用,使用範囲,JUMANカテゴリ,評価極性
黒船,クロフネ,クロフネ,9,人工物-乗り物,e
腹筋,フッキン,フッキン,7,動物-部位,-
蚕,カイコ,カイコ,8,動物,e
邦人,ホウジン,ホウジン,9,人,-
総統,ソウトウ,ソウトウ,8,人,-
商標,ショウヒョウ,ショウヒョウ,9,人工物-その他,-
教え子,オシエゴ,オシエゴ,10,人,-
肋骨,アバラボネ,アバラボネ,8,動物-部位,-
保母,ホボ,ホボ,8,人,-
シャベル,シャベル,シャベル,10,人工物-その他,-
打者,ダシャ,ダシャ,8,人,-
南洋,ナンヨウ,ナンヨウ,10,場所-その他,-
荷台,ニダイ,ニダイ,9,人工物-その他,-
紫陽花,アジサイ,アジサイ,8,植物,-
軒下,ノキシタ,ノキシタ,10,場所-施設部位,-
水溜まり,ミズタマリ,ミズタマリ,10,場所-自然,-
分譲,ブンジョウ,ブンジョウ,10,場所-施設;抽象物,-
腿,モモ,モモ,7,動物-部位,-
モスク,モスク,モスク,7,場所-施設,-
ピーマン,ピーマン,ピーマン,7,植物;人工物-食べ物,-
芳香,ホウコウ,ホウコウ,8,自然物,-
会所,カイショ,カイショ,7,場所-施設,-
ヒップ,ヒップ,ヒップ,8,動物-部位,-
弓矢,ユミヤ,ユミヤ,7,人工物-その他,-
白身,シロミ,シロミ,8,動物-部位,-
溶岩,ヨウガン,ヨウガン,7,自然物,-
工員,コウイン,コウイン,9,人,-
水車,スイシャ,スイシャ,9,人工物-その他,-
婦長,フチョウ,フチョウ,8,人,-
女帝,ジョテイ,ジョテイ,8,人,-
ケチャップ,ケチャップ,ケチャップ,8,人工物-食べ物,-
飼料,シリョウ,シリョウ,9,人工物-食べ物,-
民放,ミンポウ,ミンポウ,9,組織・団体;抽象物,-
水割り,ミズワリ,ミズワリ,8,人工物-食べ物,-
千鳥,チドリ,チドリ,8,動物,-
華僑,カキョウ,カキョウ,9,人,-
煤,スス,スス,9,自然物,e
海原,ウナバラ,ウナバラ,9,場所-その他,e
伴侶,ハンリョ,ハンリョ,9,人,e
居候,イソウロウ,イソウロウ,7,人,-
山の手,ヤマノテ,ヤマノテ,9,場所-その他,-
前衛,ゼンエイ,ゼンエイ,9,人,-
超人,チョウジン,チョウジン,10,人,p
黒色,コクショク,コクショク,10,色,-
袈裟,ケサ,ケサ,9,人工物-衣類,-
駅舎,エキシャ,エキシャ,7,場所-施設,-
杵,キネ,キネ,8,人工物-その他,-
シャトル,シャトル,シャトル,10,人工物-乗り物;人工物-その他,-
山椒,サンショウ,サンショウ,8,植物;人工物-食べ物,-
蛸焼き,タコヤキ,タコヤキ,8,人工物-食べ物,-
色紙,イロガミ,イロガミ,10,人工物-その他,-
私服,シフク,シフク,7,人工物-衣類,-
陶磁器,トウジキ,トウジキ,10,人工物-その他,-
荷車,ニグルマ,ニグルマ,8,人工物-乗り物,-
銀河,ギンガ,ギンガ,8,場所-自然,-
礁,ショウ,ショウ,10,自然物,-
菊花,キッカ,キッカ,8,植物-部位;形・模様,-
実父,ジップ,ジップ,9,人,-
象牙,ゾウゲ,ゾウゲ,9,動物-部位,-
ビスケット,ビスケット,ビスケット,8,人工物-食べ物,-
曲がり角,マガリカド,マガリカド,9,場所-その他,-
美男,ビナン,ビナン,9,人,p
高所,コウショ,コウショ,10,場所-その他,-
ピストン,ピストン,ピストン,9,人工物-その他,-
余白,ヨハク,ヨハク,9,人工物-その他,-
峡谷,キョウコク,キョウコク,10,場所-自然,-
左派,サハ,サハ,8,組織・団体,-
母校,ボコウ,ボコウ,10,場所-その他,-
側室,ソクシツ,ソクシツ,7,人,-
学童,ガクドウ,ガクドウ,9,人,-
沿海,エンカイ,エンカイ,9,場所-自然,-
砂地,スナジ,スナジ,8,場所-その他,-
社団,シャダン,シャダン,9,組織・団体,-
スチュワーデス,スチュワーデス,スチュワーデス,8,人,-
